日付,場コード,レース,決まり手,3連単配当,1着の枠,1着(立役者),1枠(飛んだイン)
20260313,8,4,まくり,39090,5,生方靖亜,安田政彦
20260313,8,5,まくり,44970,6,乙藤智史,安井瑞紀
20260313,8,6,まくり,10100,6,川口貴久,西橋奈未
20260313,7,4,まくり,18090,3,三好勇人,乃村康友
20260313,7,5,まくり差し,16310,4,近藤颯斗,犬童千秋
20260313,7,9,まくり,16120,2,宮村勇哉,大田直弥
20260313,11,8,まくり差し,16320,6,黒野元基,山本兼士
20260313,11,10,差し,10030,2,高橋勲,福来剛
20260313,11,11,まくり,10480,3,廣瀬凜,竹田和哉
20260313,11,12,差し,13100,5,金田諭,服部幸男
20260313,14,1,差し,170890,2,岡崎凪汰,馬場剛
20260313,14,5,まくり,15110,4,松本弓雄,杉山正樹
20260313,14,10,まくり,27120,4,高岡竜也,竹井貴史
20260313,14,11,まくり差し,13870,3,松本弓雄,田中京介
20260313,5,9,まくり,17310,3,為本智也,三浦洋次朗
20260313,18,12,差し,12910,4,平高奈菜,鎌倉涼
20260313,16,6,差し,26820,4,嶋田貴支,今井貴士
20260313,16,7,差し,62170,2,井上未都,鈴木章司
20260313,20,3,まくり,10890,5,川上剛,深川和仁
20260313,20,7,まくり,16360,4,梶山涼斗,山下昂大
20260313,20,9,まくり,13620,5,寺島吉彦,大串重幸
20260313,21,2,差し,19780,4,佐々木完太,宮崎奨
20260313,21,11,まくり,10410,5,西野雄貴,丹下将
20260313,24,7,差し,142250,2,今泉友吾,石野貴之
20260313,24,11,まくり,30310,5,今垣光太郎,中田竜太
20260312,1,4,まくり差し,21740,4,武田光史,田中豪
20260312,1,6,まくり差し,20920,6,伯母芳恒,長谷川晴哉
20260312,1,7,差し,130500,2,太田潮,西野翔太
20260312,1,8,まくり差し,16980,5,柳瀬幹太,三品隆浩
20260312,8,5,まくり差し,28150,4,西川新太郎,乙藤智史
20260312,8,9,まくり,13280,3,浜田亜理沙,森智也
20260312,6,1,まくり差し,15430,3,松浦勝,野中義生
20260312,2,9,抜き,50980,3,河内一馬,網代良芽
20260312,2,10,まくり差し,20090,4,荒木颯斗,中亮太
20260312,2,12,まくり差し,63370,5,竹間隆晟,田中駿兵
20260312,11,4,まくり,22500,3,星野政彦,百武翔
20260312,11,8,まくり,25330,2,多羅尾達之,鈴木智啓
20260312,11,10,まくり,42060,2,廣瀬凜,室田泰史
20260312,7,1,抜き,15260,2,深水慎一郎,平見真彦
20260312,14,8,抜き,23720,2,三原司,岡田憲行
20260312,14,9,まくり,20040,3,馬場剛,村上功祐
20260312,14,10,まくり差し,34070,6,田中京介,角浜修
20260312,14,11,まくり差し,22220,3,黒澤めぐみ,平野和明
20260312,16,2,まくり,15310,4,谷口丞,長谷川雅和
20260312,21,1,まくり差し,15660,4,淺香文武,大橋栄里佳
20260312,21,7,差し,27170,2,北川幸典,中嶋誠一郎
20260312,21,8,まくり差し,10010,3,深井利寿,淺香文武
20260312,18,8,まくり,18780,2,清埜翔子,石井裕美
20260312,24,1,まくり差し,20710,4,栗城匠,浜先真範
20260312,24,7,差し,14280,4,久田敏之,井口佳典
20260312,22,4,まくり,12060,4,野間大樹,神里琴音
20260312,22,8,まくり,15280,3,神里琴音,畑竜生
20260312,22,11,まくり,15790,3,松尾昂明,平田忠則
20260312,20,2,まくり,34640,5,木谷賢太,梶山涼斗
20260312,20,12,差し,33850,4,吉村誠,里岡右貴
20260311,8,4,差し,10700,4,鳥居塚孝博,森智也
